year,month,PM_ave
2010,1,90.40366972477064
2010,2,97.23994038748137
2010,3,94.04654442877292
2010,4,80.0724233983287
2010,5,87.0719131614654
2010,6,109.03893805309734
2010,7,123.4260752688172
2010,8,97.68343195266272
2010,9,122.79273504273505
2010,10,118.78436657681941
2010,11,138.38403614457832
2010,12,97.1157469717362
2011,1,44.87369985141159
2011,2,150.29017857142858
2011,3,57.99198717948718
2011,4,91.72067039106145
2011,5,65.10814606741573
2011,6,108.79465541490858
2011,7,107.38648648648649
2011,8,103.7338003502627
2011,9,94.96940194714882
2011,10,145.5568181818182
2011,11,109.43496503496503
2011,12,108.72139973082099
2012,1,118.92238805970149
2012,2,84.44202898550725
2012,3,96.47432432432433
2012,4,87.83588317107093
2012,5,90.96671490593343
2012,6,96.63418079096046
2012,7,80.64970930232558
2012,8,81.1653290529695
2012,9,59.95224719101124
2012,10,94.95135135135135
2012,11,87.43696275071633
2012,12,109.18729641693811
2013,1,183.19527027027036
2013,2,113.56646825396813
2013,3,114.57269265232975
2013,4,63.04780092592594
2013,5,89.14852150537635
2013,6,111.3548611111111
2013,7,74.93283917340521
2013,8,67.92361111111111
2013,9,85.7178240740741
2013,10,102.20878136200719
2013,11,85.1462962962963
2013,12,90.31776433691755
2014,1,107.9117383512545
2014,2,160.5138888888889
2014,3,103.18324372759857
2014,4,92.16064814814811
2014,5,64.95855734767025
2014,6,59.15462962962963
2014,7,91.7999551971326
2014,8,65.66823687752354
2014,9,68.23263888888889
2014,10,135.26971326164866
2014,11,106.3375
2014,12,76.62253584229393
2015,1,110.02273745519707
2015,2,103.44556051587303
2015,3,94.4834229390681
2015,4,79.39699074074069
2015,5,61.16756272401436
2015,6,60.33240740740742
2015,7,60.22950268817203
2015,8,45.89605734767028
2015,9,50.92476851851854
2015,10,77.25784050179212
2015,11,125.80312500000011
2015,12,162.17898745519724
